dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
diabetes,1,m1,SVR-MAPE,SVR-MAPE,psvr,34.778209410690025,44.75964779624217,19.97345395833609,0.5427272144058002,4030.1525243329816,0.29817507125700393,77.17790026090282,0.7142076966448013,4.174735349659012,0.028688781689184737,NA,NA,NA,NA,NA
diabetes,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,36.41765134104452,45.254214546334914,20.99376344488492,0.594913202621072,4934.765788778009,0.14064253718394726,27.294572799275013,0.01759511978720603,2.2579851349598825,0.09806811944349396,odd,NA,NA,NA,NA
diabetes,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,43.64526404661391,49.26974566382476,25.255944060194135,0.7917614473786506,9249.025177044028,-0.6106577596329161,99.00030883325897,NA,3.0873181735632227,0.052457456058616674,NA,NA,NA,NA,NA
diabetes,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,43.64526404661391,49.26974566382476,25.255944060194135,0.7917614473786506,9249.025177044028,-0.6106577596329161,99.00030883325897,NA,3.0873181735632227,0.052457456058616674,NA,NA,NA,NA,NA
diabetes,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,43.68611470636134,49.31917762990479,25.27476432459415,0.7927656032289829,9271.70660777058,-0.614607583717077,99.49683136875726,NA,3.1158378542499983,0.0515015507117097,odd,NA,NA,NA,NA
diabetes,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,43.68481583764731,49.31210516698872,25.27492383219123,0.7926840374331311,9266.930394742822,-0.613775837189463,99.79392315843656,NA,3.2128999313037405,0.04843681809652728,odd,NA,NA,NA,NA
diabetes,1,b1,ε-SVR (MSE),SVR-MSE,baseline,43.29995348271877,63.559038409121996,22.40177639299793,0.522919290818834,3571.2830196895056,0.37808421996894803,0.5438487138024937,NA,0.2664764471939461,7.0412918483513245,NA,NA,NA,NA,NA
diabetes,1,b2,Random Forest,RF,baseline,43.6064301494255,62.88820976756169,22.66153041186943,0.5080242826442035,3167.7618244352448,0.4483548195047514,NA,NA,NA,NA,NA,4,NA,NA,NA
diabetes,1,b3,XGBoost,XGB,baseline,42.36910577160553,61.4851947632789,22.15258124100167,0.4963425509182287,3079.4320423043628,0.46373687829175747,NA,NA,NA,NA,NA,NA,104,0.05030614167892781,3
diabetes,1,b4,Linear Regression,LR,baseline,37.87897550329159,58.17165306349308,20.08548862492155,0.4649621421924902,2771.9797482775457,0.5172777016339098,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,1,b5,WLS (1/y²),WLS,baseline,37.349230433026314,44.391652535543535,21.748137346465576,0.6275929880330561,5418.4547901854185,0.056411234051639725,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,1,b6,Log-SVR,Log-SVR,baseline,41.43006529476589,62.854083945067885,21.362728434407092,0.5176074358159665,3926.614936052169,0.31620547087058404,1,0.1,NA,0.224,NA,NA,NA,NA,NA
diabetes,1,b7a,QR (τ = 0.5),QR,baseline,38.12765191888613,58.41464030541138,20.223845236579248,0.46949865731483065,2827.063395284858,0.5076852416953843,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,2,m1,SVR-MAPE,SVR-MAPE,psvr,34.38863490308092,40.80272650496751,20.250025676917808,0.6333403549858586,4568.626274213041,0.31417699416950495,49.652115087974,0.0347324592302562,4.413335647844442,0.02567060404751261,NA,NA,NA,NA,NA
diabetes,2,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,36.672248707836566,43.57676143156891,21.38853115640781,0.6700166971292508,4990.050417308395,0.25091457014971985,39.7531754675034,0.01366382120942088,3.3995011413547185,0.04326529026200686,odd,NA,NA,NA,NA
diabetes,2,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,44.35219233344665,50.806956015220386,25.465359912003876,0.9309921244615763,10668.510884223186,-0.6015120877037865,99.86669844616011,NA,2.8669059372978203,0.060833543747245,NA,NA,NA,NA,NA
diabetes,2,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,44.35219233344665,50.806956015220386,25.465359912003876,0.9309921244615763,10668.510884223186,-0.6015120877037865,99.86669844616011,NA,2.8669059372978203,0.060833543747245,NA,NA,NA,NA,NA
diabetes,2,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,44.399155760753935,50.800485125397266,25.498599648733627,0.9324554547444845,10702.868778868742,-0.6066697506785022,99.49683136875726,NA,3.100281240595098,0.052019697145871666,odd,NA,NA,NA,NA
diabetes,2,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,44.400053246600386,50.79940306803332,25.4995262225943,0.9324614828286596,10702.22247067928,-0.60657272960508,99.79392315843656,NA,3.1968587105210315,0.04892413089064787,odd,NA,NA,NA,NA
diabetes,2,b1,ε-SVR (MSE),SVR-MSE,baseline,39.639972343893334,54.62550575321911,21.59145602853809,0.5832910015498467,3676.239467141708,0.44813835709463545,0.46415888336127786,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
diabetes,2,b2,Random Forest,RF,baseline,38.83953441057233,52.420847668165415,21.407603093136213,0.5381788245645801,3033.5828609217842,0.5446112701631252,NA,NA,NA,NA,NA,3,NA,NA,NA
diabetes,2,b3,XGBoost,XGB,baseline,36.842512099143576,50.559643151812374,20.3810888925567,0.5188163355204533,2948.897112460626,0.557323939371473,NA,NA,NA,NA,NA,NA,103,0.07089430913425664,4
diabetes,2,b4,Linear Regression,LR,baseline,37.668538920041186,54.8460435566182,20.202824477666674,0.5152921376801036,2914.8348950422055,0.5624372165215451,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,2,b5,WLS (1/y²),WLS,baseline,37.01287014249474,42.16121073155044,21.861285284089988,0.7536284881115318,6737.411213877405,-0.011391900514648778,NA,NA,NA,NA,NA,NA,NA,NA,NA
