dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
energy_efficiency,1,m1,SVR-MAPE,SVR-MAPE,psvr,2.0695209804441492,3.1509889659093786,1.3158188451044486,0.03838424496200506,0.549455631505118,0.9943966894320253,100,0.01,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,4.5750611003439845,7.517903369280704,2.8927423188429446,0.100476720123845,5.460576985953251,0.9443134131707484,100,0.01,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,8.970640696738844,11.8028652022022,5.65307217715935,0.1850167299555313,10.969081727971824,0.8881380623964907,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,8.970640696738844,11.8028652022022,5.65307217715935,0.1850167299555313,10.969081727971824,0.8881380623964907,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,10.986522936747436,14.275814562633132,6.890755965615058,0.21680253172471983,13.290124556967912,0.8644682279881879,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,10.986522936747436,14.275814562633132,6.890755965615058,0.21680253172471983,13.290124556967912,0.8644682279881879,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,1,b1,ε-SVR (MSE),SVR-MSE,baseline,5.056433274848734,6.735725111182866,3.2039411382433665,0.07928873548586492,1.3602333864499454,0.986128433904065,100,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
energy_efficiency,1,b2,Random Forest,RF,baseline,1.7335470074355677,2.293545676096455,1.1031320225372943,0.03220072097617364,0.27016218359702165,0.9972449047172934,NA,NA,NA,NA,NA,4,NA,NA,NA
energy_efficiency,1,b3,XGBoost,XGB,baseline,1.1876176542213444,1.8909362439864938,0.7554721225869967,0.02135398454151899,0.1419402604266018,0.9985525030308802,NA,NA,NA,NA,NA,NA,300,0.1,3
energy_efficiency,1,b4,Linear Regression,LR,baseline,10.02406331491991,13.481105005966043,6.29218268155532,0.1749480992933047,8.594431006102893,0.9123545863925195,NA,NA,NA,NA,NA,NA,NA,NA,NA
