dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2
energy_efficiency,1,m1,SVR-MAPE,SVR-MAPE,psvr,2.0547351303253967,3.130430775359551,1.3064300514290679,0.03813239076377155,0.5379395306909247,0.9945141298324763
energy_efficiency,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,11.956264334802166,19.454775800336442,7.302356523934005,0.2814078522236787,40.843964903121375,0.5834760678442252
energy_efficiency,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,8.970639894661895,11.802863717452418,5.6530716923626265,0.18501672591452573,10.96908173562128,0.8881380623184821
energy_efficiency,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,8.970639894661895,11.802863717452418,5.6530716923626265,0.18501672591452573,10.96908173562128,0.8881380623184821
energy_efficiency,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,30.45567459144663,35.955920942121224,18.238856068442132,0.6694701181426652,119.36991263102817,-0.2173261216950908
energy_efficiency,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,30.45567459144663,35.955920942121224,18.238856068442132,0.6694701181426652,119.36991263102817,-0.2173261216950908
energy_efficiency,1,b1,ε-SVR (MSE),SVR-MSE,baseline,2.509042592746363,3.9822864492662577,1.5937158194884522,0.044596837677089746,0.7705222208584129,0.9921422676273816
energy_efficiency,1,b2,Random Forest,RF,baseline,1.7335470074355677,2.293545676096455,1.1031320225372943,0.03220072097617364,0.27016218359702165,0.9972449047172934
energy_efficiency,1,b3,XGBoost,XGB,baseline,1.0444899040581097,1.555975480005697,0.6647441717012271,0.018056761610755832,0.09588603304121644,0.999022160859851
energy_efficiency,1,b4,Linear Regression,LR,baseline,10.02406331491991,13.481105005966043,6.29218268155532,0.1749480992933047,8.594431006102893,0.9123545863925195
energy_efficiency,1,b5,WLS (1/y²),WLS,baseline,9.607711953823665,12.519526016126958,6.046756618106448,0.17977567346718384,9.267976852279979,0.9054858123887639
energy_efficiency,1,b6,Log-SVR,Log-SVR,baseline,2.2728920357913034,3.3168257285455303,1.444808804592691,0.04135872129376895,0.6259366283786917,0.993616741510012
energy_efficiency,1,b7a,QR (τ = 0.5),QR,baseline,NA,NA,NA,NA,NA,NA
energy_efficiency,2,m1,SVR-MAPE,SVR-MAPE,psvr,1.954612395285631,3.271370536281403,1.241787890202519,0.039736838629644285,0.5827747854446882,0.9943168498789078
energy_efficiency,2,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,7.1599266142677935,9.663387181405483,4.523427295989302,0.1330654540299198,4.365525985387514,0.9574279118586864
energy_efficiency,2,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,9.352538736698328,11.886080639847838,5.899183989100195,0.2144822597367276,13.155632240322248,0.871707845248345
energy_efficiency,2,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,9.352538736698328,11.886080639847838,5.899183989100195,0.2144822597367276,13.155632240322248,0.871707845248345
energy_efficiency,2,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,30.9534104441731,36.05342937679735,18.569901174388725,0.7610568000574383,138.58486135867724,-0.35146302016333686
energy_efficiency,2,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,30.9534104441731,36.05342937679735,18.569901174388725,0.7610568000574383,138.58486135867724,-0.35146302016333686
energy_efficiency,2,b1,ε-SVR (MSE),SVR-MSE,baseline,2.153420843543868,3.491235560120782,1.3680786787939532,0.04058459101140904,0.5246162668714841,0.9948840048075817
energy_efficiency,2,b2,Random Forest,RF,baseline,1.7331262134937302,2.7023438957029806,1.1016823451558562,0.03311489686252571,0.29195591831057294,0.99715288074580255
energy_efficiency,2,b3,XGBoost,XGB,baseline,1.0785308204645498,2.1228630619604716,0.6852803723136065,0.021358849783337082,0.16576444537599444,0.9983834849218939
energy_efficiency,2,b4,Linear Regression,LR,baseline,9.725341801316361,13.024157418989294,6.1103753450256395,0.18631170061057506,9.252364577717701,0.9097720454221048
energy_efficiency,2,b5,WLS (1/y²),WLS,baseline,9.39821422830561,12.242506277412376,5.917191472399321,0.19612019485450155,10.788631073151011,0.8947905579974391
energy_efficiency,2,b6,Log-SVR,Log-SVR,baseline,2.165404679584919,3.1174565193656094,1.3766385964281689,0.04124885027947716,0.4382903127383015,0.9957258452044874
energy_efficiency,2,b7a,QR (τ = 0.5),QR,baseline,NA,NA,NA,NA,NA,NA
