dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
energy_efficiency,1,m1,SVR-MAPE,SVR-MAPE,psvr,1.696551152859899,2.3093306414387307,1.0795295787553814,0.03035546611162424,0.250675388783024,0.997443629704456,774.1522297780646,1.258345323118667,2.6783501796809603,0.06970040286215404,NA,NA,NA,NA,NA
energy_efficiency,1,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,2.5015213049950793,3.8457258436297512,1.5891024174482085,0.044447525077135244,0.656258428355045,0.9933075218887988,517.3408439708246,1.2957729584009794,2.0266009330991914,0.12174006457585618,odd,NA,NA,NA,NA
energy_efficiency,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,1.5487990073293998,2.25287363882592,0.985322087554883,0.02755323363534471,0.21219691168394927,0.9978360305554186,253160494.40163845,NA,4.588710493612829,0.023745902888466088,NA,NA,NA,NA,NA
energy_efficiency,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,1.558832398898925,2.239426056625326,0.9917233633983756,0.027491404285434642,0.20669981457000644,0.9978920895719899,140242898.3356077,NA,4.793086307430257,0.0217640395195022,NA,NA,NA,NA,NA
energy_efficiency,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,1.8841714925357107,2.8832460868824974,1.19796368587611,0.03272467251789576,0.33787241516250177,0.9965544004539163,257825229.56052062,NA,3.481521112480163,0.041250758449924714,odd,NA,NA,NA,NA
energy_efficiency,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,1.8726929917350679,2.8836099276253395,1.1906408832809785,0.03269927024592615,0.3397273538875512,0.9965354839169567,234078065.33984792,NA,3.5840268403679567,0.03892489928749033,odd,NA,NA,NA,NA
energy_efficiency,1,b1,ε-SVR (MSE),SVR-MSE,baseline,5.057236755906412,6.731797447701224,3.204512860647882,0.07933005643980491,1.3616547691025498,0.9861139387419776,331.24727848293094,NA,0.2660940243138296,7.061545486805469,NA,NA,NA,NA,NA
energy_efficiency,1,b2,Random Forest,RF,baseline,1.7335470074355677,2.293545676096455,1.1031320225372943,0.03220072097617364,0.27016218359702165,0.9972449047172934,NA,NA,NA,NA,NA,4,NA,NA,NA
energy_efficiency,1,b3,XGBoost,XGB,baseline,0.9662861809986225,1.3782235499111346,0.6150235771845296,0.016676058924183175,0.07695722063532731,0.9992151955809668,NA,NA,NA,NA,NA,NA,297,0.0998737741317635,5
energy_efficiency,1,b4,Linear Regression,LR,baseline,10.02406331491991,13.481105005966043,6.29218268155532,0.1749480992933047,8.594431006102893,0.9123545863925195,NA,NA,NA,NA,NA,NA,NA,NA,NA
